,satdate,N,chlmean,chlstd,pocmean,pocstd,picomean,picostd,promean,prostd,synmean,synstd
1,20240426,10042,0.22337943,0.054779544,67.45371,11.131034,16727.559,8238.767,397549.44,65839.766,59852.36,33853.71
2,20240429,13694,0.2701726,0.10835496,78.40887,18.989225,5874.011,2478.8938,410659.25,57472.832,24705.713,10214.199
3,20240502,14700,0.26907787,0.080546424,75.276474,14.916386,8446.411,4327.922,238928.84,75568.7,13307.1,6844.753
4,20240504,8025,0.23151135,0.06101689,67.615486,10.743677,6123.2583,2157.4133,262917.03,78419.055,17115.373,11896.686
5,20240508,8347,0.24614435,0.04814704,70.3406,8.587637,3910.828,1173.1835,204910.75,72792.36,4359.34,3179.9976
6,20240513,14963,0.18080546,0.05026001,58.01403,10.116494,6436.795,2760.8706,268791.6,68271.46,30689.668,12708.245
7,20240522,9491,0.13118175,0.039434716,48.51656,7.399452,4134.6733,1412.9608,289368.84,50626.883,27356.01,9745.144
8,20240524,10625,0.123986624,0.034959618,48.329353,6.8715596,1543.2882,351.1269,269925.5,37795.63,11103.417,3397.144
9,20240601,7696,0.12893409,0.034190435,42.687386,7.0440497,5186.6772,2138.6382,208509.83,42996.715,30519.844,11703.618
10,20240612,6793,0.10813322,0.027404962,39.89859,5.549083,3586.8135,1274.8088,255434.47,30668.6,26491.498,8414.547
11,20240619,8620,0.08677006,0.02439592,40.956745,4.6464624,2355.405,640.34595,281057.6,56089.973,24343.969,7997.476
12,20240621,7504,0.08114537,0.020291215,36.822803,4.5330343,2074.7542,613.36865,252439.89,49753.297,20971.16,7615.357
13,20240622,8644,0.07894148,0.02013927,39.17996,4.1200523,1974.4026,489.44992,276557.78,48226.28,20308.78,6825.174
14,20240625,9824,0.08433105,0.019518679,36.38974,3.2995553,2661.6428,729.7932,228842.38,29880.883,24180.25,8413.466
15,20240627,11141,0.08143798,0.019542241,37.701706,3.4788582,1190.1527,246.50784,242980.1,30226.135,9998.848,2455.592
16,20240630,8507,0.079969704,0.021383492,37.931087,3.536966,824.3705,117.74007,227276.14,26508.086,7362.089,1351.1053
17,20240703,10315,0.064491674,0.01068737,37.940536,3.8233056,2191.2993,451.06473,252750.62,47060.24,22546.588,6562.512
18,20240705,6399,0.0678049,0.015786601,35.206684,3.287773,1477.6069,317.9864,254577.03,44394.13,14748.496,4517.615
19,20240706,12616,0.061964903,0.011777507,34.827473,3.2058837,1639.999,316.93756,259663.58,35051.03,15299.358,3888.9924
20,20240708,3934,0.059057444,0.01655971,32.755573,3.9834645,1241.5361,244.68265,224939.23,52177.863,11856.051,3313.7317
21,20240711,4577,0.06859669,0.012496905,33.982815,2.754845,942.5209,142.79253,236509.48,27247.271,8611.107,1648.5214
